COVID-19 Vaccinations in the United States
Date generated: Sun Oct 24 2021 16:28:43 GMT-0600 (Mountain Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
New York State,31361765,161213,203314,27159991,139614,25411331,164738,14312879,73.6,13378727,86.7,12865529,66.1,12048350,78.1,18133245,11761620,1466900,0,1160675,9875503,16113428,10385,4572565,7184648,1105656,2660,4570644,6370346,1104870,2490,11764719,73.6,13378727,86.7,60.5,10948288,71,14312879,3095127,93.9,2805158,85.1,1325335,1309353,175100,1129,6162711,186967,951468,14311022,85.3,12864722,76.7,4572386,7184176,1105514,2646,27157377,161909,186975,536437,4.2,535511,4.4,449191,16,323947,11.5,N/A,N/A,N/A,N/A
Ohio,15993535,136824,175539,12733142,108932,12010379,131822,6490211,55.5,6110557,67.1,6029597,51.6,5693038,62.5,8900835,6349600,743100,0,510542,4779279,7426597,16724,2229412,3299360,496251,4574,2228914,2963609,496030,4485,5537624,55.5,6110557,67.1,47.4,5201269,57.1,6490211,1799618,87.9,1721932,84.1,778063,856642,87319,2282,3836189,187468,781575,6489960,64.9,6029501,60.3,2229406,3299281,496240,4574,12732871,127320,159924,455377,7.6,454475,8,397460,23.1,319422,18.6,N/A,N/A,N/A,N/A
Oklahoma,5268280,133139,175333,4397550,111134,4125985,137316,2326548,58.8,2178498,72.5,1964358,49.6,1842584,61.3,2717160,2288420,262700,0,124433,1764303,2507942,872,778517,1062109,123599,133,778263,940693,123509,119,1841614,58.8,2178498,72.5,46.5,1719927,57.2,2326548,602557,94.9,518277,81.6,265058,238931,20176,35,1209507,190434,829478,2326300,70,1964286,59.1,778500,1062069,123584,133,4397268,132240,158434,159942,8.1,159734,8.7,133005,25.7,99181,19.1,N/A,N/A,N/A,N/A
Oregon,7108975,168550,212134,5524510,130983,5160601,153994,2868632,68,2675998,79.9,2636958,62.5,2467310,73.6,3926415,2806760,375800,0,229860,2007736,3282339,4575,943466,1466836,225580,1076,940639,1300888,224776,1007,2413379,68,2675998,79.9,57.2,2244524,67,2868632,707884,92.4,668425,87.3,301782,316494,50522,472,1460300,190620,927968,2860557,78.4,2631215,72.1,943462,1461104,225577,1072,5510467,151064,194886,211614,8,211330,8.6,167546,25.1,131138,19.6,N/A,N/A,N/A,N/A
Pennsylvania,20442995,159686,201065,17237442,134647,16214448,159475,9780710,76.4,9205508,90.5,7693124,60.1,7255830,71.4,11030175,8225920,1186900,0,671411,6626127,9938798,1106,2884138,4135268,673182,536,2881659,3700972,672702,497,7022131,76.4,9205508,90.5,54.9,6585289,64.8,9780710,2815197,99.9,2156885,90.1,1010393,1059951,88915,246,5136706,214623,854154,9776945,88.2,7691460,69.4,2883995,4133814,673115,536,17232053,155502,184478,342576,4.5,341878,4.7,281437,13,207008,9.6,N/A,N/A,N/A,N/A
Puerto Rico,4987790,156176,190304,4944909,154834,4557307,173879,2608481,81.7,2400046,91.6,2337092,73.2,2156075,82.3,2737410,2054480,195900,0,134892,1939655,2869930,432,893809,1309224,133997,62,893401,1128788,133827,59,2203446,81.7,2400046,91.6,69,2022597,77.2,2608481,630309,99.9,566861,99.9,279110,265103,22860,14,1231649,226853,918684,2607181,91.5,2336689,82,893744,1308936,133947,62,4943254,173551,175115,117330,5,116984,5.4,86044,15.2,54781,9.7,N/A,N/A,N/A,N/A
Rhode Island,1794565,169401,209924,1533965,144801,1432219,167537,820184,77.4,764605,89.4,746085,70.4,696865,81.5,1011105,704760,78700,0,54955,564259,913806,945,268861,422423,54576,225,268770,373318,54554,223,692053,77.4,764605,89.4,65.3,642855,75.2,820184,192874,99.9,178469,95.4,80726,91619,6334,77,399023,213329,959424,820043,88.4,746033,80.4,268856,422378,54575,224,1533832,165374,193486,53028,7.1,52906,7.6,45800,25.7,36086,20.2,N/A,N/A,N/A,N/A
Republic of Palau,33090,184788,237255,31592,176423,28960,207643,17944,99.9,16593,99.9,15680,87.6,14394,99.9,6390,22900,3800,0,2333,24625,4634,0,11611,1731,2338,0,11611,445,2338,0,13343,99.9,16593,99.9,74.5,12057,86.4,17944,1788,58.9,1712,56.4,1466,19,227,0,3634,119776,1090640,17944,99.9,15680,99.9,11611,1731,2338,0,31592,206592,216388,564,3.6,564,3.9,539,31.5,412,24.1,N/A,N/A,N/A,N/A
South Carolina,7399185,143709,183260,5602484,108813,5293477,131107,2936587,57,2766266,68.5,2550841,49.5,2409769,59.7,3909585,3129000,360600,0,185620,2117574,3297777,1513,943533,1424487,182533,288,941547,1285989,181947,286,2369683,57,2766266,68.5,46,2229194,55.2,2936587,872299,93.1,772964,82.5,327837,417208,29128,178,1787440,190757,789648,2931636,66.3,2547981,57.6,943447,1421757,182489,288,5594581,126575,167403,227658,8.9,227367,9.4,197770,25.6,161232,20.9,N/A,N/A,N/A,N/A
South Dakota,1290315,145855,193289,1003394,113422,939138,140683,540885,61.1,504553,75.6,462030,52.2,434514,65.1,684675,535440,70200,0,32623,387319,583326,126,179925,249337,32746,22,179865,221906,32721,22,429394,61.1,504553,75.6,48.5,401902,60.2,540885,151726,99.9,133117,87.7,66780,62142,4491,15,298176,196335,849613,540829,73.3,462014,62.6,179923,249325,32744,22,1003338,135935,174816,36772,8,36745,8.5,31379,23.6,24333,18.3,N/A,N/A,N/A,N/A
Tennessee,9150650,133994,172033,7292825,106789,6925757,130205,3698437,54.2,3497777,65.8,3229225,47.3,3069707,57.7,5192190,3544360,414100,0,213750,2723005,4323276,32794,1191062,1823466,206372,8325,1190571,1664777,206110,8249,3025589,54.2,3497777,65.8,44.3,2866279,53.9,3698437,991494,86.7,909755,79.6,450345,423644,33610,4539,2154973,188472,800307,3697685,63.4,3229038,55.3,1191042,1823347,206326,8323,7291930,124957,156808,293001,9.1,292289,9.5,240545,26.4,181295,19.9,N/A,N/A,N/A,N/A
Texas,43815445,151109,202886,33902010,116920,31135394,144172,17679219,61,16197977,75,15358788,53,14154983,65.5,24840825,16847120,2127500,0,1267213,12636513,19995881,2403,5599194,8580528,1178817,249,5595342,7381979,1177430,232,14192648,61,16197977,75,48.9,12990175,60.2,17679219,3359311,90,3034932,81.3,5491940,7119053,1139771,152,7030391,188269,1173350,17673034,73.3,15356694,63.7,5598672,8579219,1178555,248,33893955,140632,181798,1099064,7.2,1095703,7.7,853318,28.1,573009,18.9,N/A,N/A,N/A,N/A
Utah,4278930,133468,188104,3641250,113578,3298135,144987,1945448,60.7,1761558,77.4,1700643,53,1545588,67.9,2517930,1566700,194300,0,150342,1317456,2173200,252,596919,955787,147931,6,596536,801288,147758,6,1553919,60.7,1761558,77.4,48.5,1399022,61.5,1945448,351375,96,312899,85.5,133596,164401,15875,1,723958,197872,1169520,1944768,75,1700306,65.6,596885,955519,147896,6,3640261,140428,165066,95825,5.6,95477,6.2,78156,25,62960,20.1,N/A,N/A,N/A,N/A
Virginia,13560765,158875,203168,11502654,134762,10632032,159289,6016286,70.5,5558901,83.3,5345739,62.6,4945714,74.1,7905465,5045900,609400,0,408847,4032614,7054523,6670,1855219,3087895,400020,2605,1849688,2695089,398485,2452,4949879,70.5,5558901,83.3,58,4551375,68.2,6016286,1310829,96.5,1183030,87.1,554608,562155,68889,815,2681555,197332,997918,5997910,82.1,5333655,73,1855049,3076082,399925,2599,11471186,156990,185587,376693,7,375996,7.6,306770,25.9,226382,19.1,N/A,N/A,N/A,N/A
Veterans Health,6631120,N/A,N/A,5937457,N/A,5934425,N/A,3069237,N/A,3067526,N/A,2855466,N/A,2854114,N/A,2949960,3138260,542900,0,219412,2939911,2777763,371,1403191,1233629,218637,9,1403131,1232377,218597,9,2637108,N/A,3067526,N/A,0,2635796,0,3069237,1546175,0,1467872,0,802288,593298,72285,1,3125569,0,0,3069139,0,2855392,0,1403169,1233584,218630,9,5937292,0,0,224007,7.8,224007,7.8,217177,14.8,180740,12.3,N/A,N/A,N/A,N/A
Virgin Islands,115260,110107,141366,107600,102789,102352,125534,55458,53,52583,64.5,48612,46.4,46267,56.7,83280,30480,1500,0,1489,28530,77581,0,12915,34256,1438,3,12890,31942,1432,3,47177,53,52583,64.5,45.1,44838,55,55458,15082,85,13688,77.2,5074,8176,447,3,29617,166979,649828,55392,62,48584,54.3,12907,34239,1435,3,107507,120261,128933,2205,4.5,2204,4.8,1919,14,1367,10,N/A,N/A,N/A,N/A
Vermont,1129090,180947,221397,954319,152938,892323,174971,493823,79.1,460574,90.3,442160,70.9,412911,81,600210,466980,61900,0,44734,363931,544823,831,165076,233545,43285,254,165032,204431,43211,237,399152,79.1,460574,90.3,64,369962,72.5,493823,131286,99.9,120951,96.7,58252,60273,2366,150,291481,233112,902990,493404,89.6,442121,80.2,165069,233529,43269,254,953895,173136,204935,44488,10.1,44433,10.8,38721,32,31763,26.3,N/A,N/A,N/A,N/A
Washington,12133095,159334,203855,10106908,132726,9423774,158334,5244924,68.9,4886838,82.1,4798221,63,4480252,75.3,6899115,4626980,607000,0,405628,3740226,5953409,7645,1752848,2638489,404438,2446,1752138,2321574,404141,2399,4397519,68.9,4886838,82.1,57.7,4079817,68.5,5244924,1151645,95.2,1080750,89.3,493184,532546,55804,1321,2427623,200676,1002970,5243992,80.7,4797941,73.8,1752792,2638293,404412,2444,10105842,155452,186636,345202,7.2,344376,7.7,282571,26.1,216831,20.1,N/A,N/A,N/A,N/A
Wisconsin,8045285,138177,176593,7200668,123671,6760856,148400,3629213,62.3,3396574,74.6,3376473,58,3173094,69.6,4552425,3131760,361100,0,280919,2691312,4227307,1130,1254029,1848669,273342,433,1253716,1645807,273153,418,3104723,62.3,3396574,74.6,53.3,2901512,63.7,3629213,973657,95.7,931164,91.5,447916,455350,28846,185,2139442,210318,790891,3628655,72.6,3376277,67.5,1254013,1848507,273324,433,7200155,144009,160912,319244,9.5,318852,10,261872,28.1,203575,21.9,N/A,N/A,N/A,N/A
West Virginia,3121715,174189,217909,1587036,88555,1513029,105616,874954,48.8,831161,58,734234,41,702527,49,1748895,1241620,131200,0,42182,703307,841133,414,319082,370686,44209,257,318779,339374,44141,233,690142,48.8,831161,58,38.5,658497,46,874954,294854,80.3,263115,71.7,133858,122504,6861,106,568021,154769,850578,874320,56.1,733931,47.1,318993,370486,44195,257,1586073,101813,200388,41883,5.7,41837,6,34190,13,24106,9.2,N/A,N/A,N/A,N/A
Wyoming,716185,123745,160931,557460,96320,528363,118727,291267,50.3,275029,61.8,251722,43.5,238933,53.7,352785,324600,38800,0,24395,241106,291447,512,106164,122597,22874,87,106145,109852,22851,85,228963,50.3,275029,61.8,39.6,216196,48.6,291267,85050,85.8,78011,78.7,39748,34805,3594,38,174502,175947,722114,291227,59.3,251711,51.3,106163,122589,22872,87,557418,113592,145945,23347,9.3,23297,9.8,19962,25.6,15436,19.8,N/A,N/A,N/A,N/A
